华为投资控股有限公司	251	中铁第四勘察设计院集团有限公司
145	中国航发哈尔滨东安发动机有限公司	395	深圳麦克韦尔科技有限公司
146	航天精工股份有限公司	396	中国移动通信集团浙江有限公司
147	中国航天时代电子有限公司	397	中移（苏州）软件技术有限公司
148	航天科技控股集团股份有限公司	398	合肥晶合集成电路股份有限公司
149	首都航天机械有限公司	399	中化蓝天集团有限公司
150	航宇救生装备有限公司	400	蓝思科技股份有限公司
151	上海微电子装备（集团）股份有限公司	401	科达制造股份有限公司
152	上海华虹（集团）有限公司	402	通威股份有限公司
153	荣耀终端有限公司	403	北京城市网邻信息技术有限公司
154	上海诺基亚贝尔股份有限公司	404	北京高能时代环境技术股份有限公司
155	湖北紫光国器科技控股有限公司	405	常州市新创智能科技有限公司
156	中国航发动力控制股份有限公司	406	岚图汽车科技有限公司
157	中车唐山机车车辆有限公司	407	科之杰新材料集团有限公司
158	合肥国轩高科动力能源有限公司	408	富泰华工业（深圳）有限公司
159	中国长江三峡集团有限公司	409	建信金融科技有限责任公司
160	华电电力科学研究院有限公司	410	招商局重庆交通科研设计院有限公司
161	中车株洲电力机车有限公司	411	长园科技集团股份有限公司
162	西安航天发动机有限公司	412	厦门金龙汽车集团股份有限公司
163	一汽解放汽车有限公司	413	闻泰通讯股份有限公司
164	中航重机股份有限公司	414	中交第二公路工程局有限公司
165	广州极飞科技股份有限公司	415	新奥科技发展有限公司
166	长虹美菱股份有限公司	416	公牛集团股份有限公司
167	四川航天长征装备制造有限公司	417	四川九洲电器股份有限公司
168	上海华虹宏力半导体制造有限公司	418	深圳市韶音科技有限公司
169	北汽蓝谷新能源科技股份有限公司	419	深圳市汉森软件有限公司
170	中国航发航空科技股份有限公司	420	杭州复杂美科技有限公司
171	中交二航局第二工程有限公司	421	华工科技产业股份有限公司
172	四川科伦药业股份有限公司	422	北京京东振世信息技术有限公司
173	中国铝业股份有限公司	423	淮河能源控股集团有限责任公司
174	中交第四航务工程局有限公司	424	先导科技集团有限公司
175	一汽解放集团股份有限公司	425	中铝国际工程股份有限公司
176	中信科移动通信技术股份有限公司	426	合肥京东方显示技术有限公司
177	株洲时代新材料科技股份有限公司	427	晋能控股装备制造集团有限公司
178	中国神华能源股份有限公司	428	国家能源集团宁夏煤业有限责任公司
179	横店集团控股有限公司	429	好孩子儿童用品有限公司
180	中国南方航空股份有限公司	430	明阳智慧能源集团股份公司
181	东风汽车集团股份有限公司	431	鹏鼎控股（深圳）股份有限公司
182	航天凯天环保科技股份有限公司	432	沈鼓集团股份有限公司
183	中交上海航道局有限公司	433	远景能源有限公司
184	北京航天测控技术有限公司	434	温氏食品集团股份有限公司
185	北京金山云网络技术有限公司	435	上海机电股份有限公司
186	长飞光纤光缆股份有限公司	436	博西华电器（江苏）有限公司
187	航天工业发展股份有限公司	437	上海携程商务有限公司
188	四川航天烽火伺服控制技术有限公司	438	中铁四局集团有限公司
189	北京旷视科技有限公司	439	淮北矿业（集团）有限责任公司
190	武汉光迅科技股份有限公司	440	信利半导体有限公司
191	珠海翔翼航空技术有限公司	441	深圳忆联信息系统有限公司
192	中交二航局第四工程有限公司	442	北京市政路桥股份有限公司
193	浙江三花智能控制股份有限公司	443	北京臻迪机器人有限公司
194	立讯精密工业股份有限公司	444	通富微电子股份有限公司
195	东风商用车有限公司	445	华能新能源股份有限公司
196	深圳航顺控股有限公司	446	西安奕斯伟材料科技股份有限公司
197	中国商用飞机有限责任公司	447	辽宁忠旺精制投资有限公司
198	中航直升机股份有限公司	448	中车长江车辆有限公司
199	航天彩虹无人机股份有限公司	449	上海新时达电气股份有限公司
200	上海联和投资有限公司	450	深圳拓邦股份有限公司
201	北京智芯微电子科技有限公司	451	中车大连机车车辆有限公司
202	深圳市优必选科技股份有限公司	452	千寻位置网络有限公司
